og	oo	cg	co
Kwame_Nkrumah_University_of_Science_and_Technology_B	Technion_A	Nanyang_Technological_University_B	Vanderbilt_University_C
University_of_Technology_Sydney_A	Leiden_Debating_Union_A	Monash_University_D	Glasgow_University_Union_A
Stanford_University_E	Brown_University_B	University_of_Waterloo_B	University_College_London_D
The_University_of_Melbourne_C	Cambridge_Union_Society_A	Sciences_Po_Reims_A	Princeton_University_D
Monash_University_C	Stanford_University_B	Reichman_University_A	University_of_Sydney_E
Nanyang_Technological_University_A	University_of_Otago_B	Carleton_University_A	University_of_Western_Ontario_Debate_Society_A
Bates_College_A	University_of_National_and_World_Economy_A	University_of_Sydney_A	Harvard_College_A
Colgate_University_C	Harvard_College_D	Imperial_College_London_A	Nottingham_Trent_University_C
Ben-Gurion_University_of_the_Negev_B	Universidad_de_Almeru00eda_A	Colgate_University_A	University_of_Belgrade_A
University_of_New_South_Wales_A	Pontificia_Universidad_Catu00f3lica_del_Peru00fa_A	Edinburgh_University_Debates_Union_A	Stanford_University_A
University_of_Zagreb_B	IT_Bandung_A	Harvard_College_C	University_of_Chicago_A
Trinity_College_Dublin_University_Philosophical_Society_A	University_of_Sydney_B	London_School_of_Economics_A	Hebrew_University_of_Jerusalem,_Israel_A
De_La_Salle_University_B	International_Islamic_University_Malaysia_B	Singapore_Management_University_A	Bangladesh_University_of_Engineering_and_Technology_A
Reichman_University_B	Universitas_Airlangga_A	Yonsei_University_A	Vanderbilt_University_D
University_of_Pennsylvania_A	University_of_Hong_Kong_A	Stanford_University_D	University_of_Western_Ontario_Debate_Society_C
Brown_University_A	McGill_Debating_Union_C	Cambridge_Union_Society_C	Debate_ITAM_A
University_of_Vermont_B	Universitas_Padjadjaran_A	Fordham_University_A	International_Islamic_University_Malaysia_C
Universidad_del_Rosario_A	Vanderbilt_University_B	Bangladesh_University_of_Engineering_and_Technology_C	Comillas_A
University_of_California_Berkeley_B	University_of_Vermont_A	ASDV_Bonaparte_A	University_of_Tokyo_D
The_Oxford_Union_A	University_of_Zagreb_A	McGill_Debating_Union_B	University_of_Auckland_A
Nottingham_Trent_University_B	University_of_Tokyo_C	College_Historical_Society,_Trinity_College_Dublin_C	Middlebury_Debate_society_C
Queen&#x27;s_Debating_Union_B	Debattierklub_Wien_A	University_of_Western_Australia_A	Trinity_College_Dublin_University_Philosophical_Society_B
Macquarie_University_A	Sunway_University_A	University_of_Alberta_A	International_Islamic_University_Malaysia_A
