og	oo	cg	co
Higher_School_of_Economics_(Saint-Petersburg)_A	Tenaga_Nasional_University,_Malaysia_A	Universidad_del_Rosario_A	Diplomatic_Academy_of_Vietnam_B
City_University_of_Hong_Kong_HK	Beijing_Foreign_Studies_University_A	Swing_2	Fordham_University_B
Sciences_Po_C	Hart_House_C	Telkom_University_Telkom	Kwame_Nkrumah_University_of_Science_and_Technology_A
Nanyang_Technological_University_B	Harvard_College_A	Princeton_University_G	University_of_Auckland_D
Stanford_University_B	Ateneo_de_Manila_University_BG	Berlin_Debating_Union_A	Indian_Institute_of_Technology,_Bombay_A
Kwame_Nkrumah_University_of_Science_and_Technology_B	Duke_University_B	Princeton_University_B	Stanford_University_G
Yonsei_University_KC	Nanyang_Technological_University_C	Keio_University,_Japan_YF	University_of_the_Philippines_Los_Bau00f1os_A
University_of_California,_Berkeley_A	McGill_University_D	University_of_Pennsylvania_A	University_of_Cape_Town_B
Yonsei_University_PL	Cornell_University_B	Hart_House_A	Princeton_University_C
University_of_Arts_Belgrade_A	University_of_Macau_A	Stanford_University_C	University_of_Adelaide_1
University_of_Western_Ontario_Debate_Society_B	Waseda_University,_Japan_B	University_of_Technology_MARA_D	Singapore_Management_University_B
The_University_of_Tokyo_D	The_University_of_Tokyo_A	Universitas_Indonesia_1	Brickfields_Asia_College,_Malaysia_B
Ateneo_de_Manila_University_CF	University_of_Sydney_Union_C	University_of_New_South_Wales_A	Osaka_University,_Japan_A
Drexel_University_B	Colgate_University_B	Sekolah_Tinggi_Bahasa_Asing_-_Persahabatan_International_Asia_A	Instituto_Tecnolu00f3gico_y_de_Estudios_Superiores_de_Monterrey_Campus_Estado_de_Mu00e9xico_A
Turan_A	International_Islamic_University_Malaysia_B	Davidson_College_1	RMIT_University_A
Ateneo_de_Manila_University_TV	University_of_Wollongong_A	Middlebury_College_SS	Singapore_University_of_Social_Sciences_A
Multimedia_University_A	BeiHang_University_A	De_La_Salle_University_HD	Split_Debating_Union_-_University_of_Split_A
University_of_Sydney_Union_G	McGill_University_C	University_of_Chicago_C	University_of_Auckland_B
University_of_Waterloo,_Canada_B	University_Of_Stellenbosch_Debate_Union_A	Princeton_University_D	Independent_University,_Bangladesh_A
Chulalongkorn_University_B	National_Economics_University_A	Jahangirnagar_University_A_ud83dudcbb	The_University_of_Tokyo_C
Keio_University,_Japan_SG	National_University_of_Singapore_B	Duke_University_A	University_of_St_Andrews_A_ud83dudcbb
Redacted_A_ud83dudcbb	University_of_British_Columbia_A	The_University_Philosophical_Society_B	Royal_Institute_of_Colombo_A
Brown_University_HK	Kwame_Nkrumah_University_of_Science_and_Technology_C_ud83dudcbb	Trinity_College_Hist_(College_Historical_Society_Trinity_College_Dublin)_CF	ETH_Zurich/University_of_Zurich_A
Vanderbilt_University_A	University_of_Colombo,_Sri_Lanka_A_ud83dudcbb	Thammasat_University,_Thailand_A	President_University,_Indonesia_A
Middlebury_College_SW	Colgate_University_C	The_University_of_Hong_Kong_B	Diplomatic_Academy_of_Vietnam_C
University_of_Western_Ontario_Debate_Society_A	Strathmore_University_A	Swarthmore_College_A	Glasgow_University_Union_A
Brown_University_A	Sciences_Po_A	Sciences_Po_B	The_University_of_Melbourne_B
Princeton_University_F	University_of_Southern_California_A	Dartmouth_College_C	Hankuk_University_of_Foreign_Studies_B
University_of_Ilorin,_Nigeria_A_ud83dudcbb	University_of_Belgrade_D	Queenu2019s_Debating_Union,_Queenu2019s_University_B	Midlands_State_University_B
University_of_Queensland_B	Stanford_University_D	Nanyang_Technological_University_D	Columbia_University_C
Waseda_University,_Japan_X	University_of_Zimbabwe_A_ud83dudcbb	University_of_Belgrade_E	Diplomatic_Academy_of_Vietnam_A
Victoria_University_of_Wellington_2	Sunway_University,_Malaysia_B	Drexel_University_A_ud83dudcbb	The_Hong_Kong_Polytechnic_University_A
Princeton_University_E	Haifa_University_A_ud83dudcbb	Bates_College_MB	Middlebury_College_CG
University_of_Santo_Tomas_A	University_of_New_South_Wales_E	University_of_Cape_Town_A	University_of_Queensland_C
Macquarie_University_C	Swing_1	Trinity_College_Hist_(College_Historical_Society_Trinity_College_Dublin)_AH	Universidad_San_Francisco_de_Quito_DS
Lewis_&amp;_Clark_College_A	Victoria_University_of_Wellington_V1	Queensland_University_of_Technology_A	Cambridge_Union_Society_D
University_of_Queensland_A	Hobart_and_William_Smith_Colleges_B	University_of_New_South_Wales_C	Princeton_University_A
Dartmouth_College_A	University_of_New_South_Wales_B	Sunway_University,_Malaysia_A	University_of_Auckland_A
University_of_Sydney_Union_E	University_of_Oxford_B	Hankuk_University_of_Foreign_Studies_A	Indian_Institute_of_Technology,_Bombay_B
The_University_of_Hong_Kong_C	University_of_Macau_B	Bates_College_LA	Midlands_State_University_A
Indian_Institute_of_Technology,_Bombay_C	Yale_University_A	De_La_Salle_University_PG	University_of_Sydney_Union_H
University_of_New_South_Wales_D	Vellore_Institute_of_Technology_A	University_of_Technology_MARA_A	Deen_Dayal_Upadhyaya_College_A
University_of_Rochester_IL	National_University_of_Singapore_D	Hanyang_University_A	Macquarie_University_B
University_of_Edinburgh_Debates_Union_A	Dartmouth_College_B	Fordham_University_A	Bates_College_CN
Durham_University_RS	National_University_of_Singapore_C	Australian_National_University_B	University_College_London_B
Macquarie_University_A	Ateneo_de_Manila_University_LN	University_of_Cape_Town_C	University_of_Alaska_Anchorage_A
Manado_State_University_MSU	FPT_University_Sirius	FPT_University_A	Swing_3
FPT_University_IT	Tsinghua_University_A	Joint	Macau_University_of_Science_and_Technology_A
Queenu2019s_Debating_Union,_Queenu2019s_University_A	Indira_Gandhi_National_Open_University_A	The_University_of_Melbourne_C	Cornell_University_A
University_of_Warsaw,_Warsaw,_Poland_A	University_of_Waterloo,_Canada_A	Ateneo_de_Davao_University_A	Chulalongkorn_University_C
Stanford_University_A	University_of_Sydney_Union_F	Tel_Aviv_University_A	University_of_Oxford_A
Cambridge_Union_Society_B	Hart_House_B	University_of_the_Philippines_Diliman_A	University_of_Bucharest,_Romania_B
University_of_Bucharest,_Romania_A	University_of_Sydney_Union_D	University_of_Sydney_Union_A	Stanford_University_E
Yale_University_B	Australian_National_University_A	Stanford_University_F	University_of_Auckland_C
Doshisha_University_A	Universitas_Gadjah_Mada_A	Debatte_Karlsruhe_e.V.,_Germany_KIT	The_University_of_Hong_Kong_A
The_Chinese_University_of_Hong_Kong_A	Universitas_Udayana_A	Carleton_University_A	University_of_Ottawa_A
University_College_London_A	Singapore_Management_University_C	McGill_University_B	University_of_Chicago_A
Macau_University_of_Science_and_Technology_B	Hanyang_University_B	Brawijaya_University_A	Cornell_University_C
University_of_Technology_MARA_B	University_of_Belgrade_B	University_of_Pennsylvania_B	Amherst_College_GD
McGill_University_A	University_of_Sydney_Union_B	Harvard_College_E	National_University_of_Singapore_A
University_of_the_Philippines_Diliman_B	Weizmann_Institute_of_Science_A	Ateneo_de_Manila_University_SY	The_University_Philosophical_Society_A
University_of_California,_Los_Angeles_A	National_Law_Institute_University_Bhopal_A	Harvard_College_C	University_of_Zagreb_A
University_of_Belgrade_A	The_University_of_Melbourne_A	University_of_Chicago_B	Bina_Nusantara_University_B
Rhodes_University_1	Macau_University_of_Science_and_Technology_C	Symbiosis_Law_School,_Pune_A	University_of_Belgrade_C
Fudan_University_A	Yale-NUS_College_A	Vanderbilt_University_B	Brickfields_Asia_College,_Malaysia_C
Atma_Jaya_Catholic_University_Of_Indonesia_A	University_of_Waterloo,_Canada_C	De_La_Salle_University_EJ	Bina_Nusantara_University_A
The_University_of_Hong_Kong_D	Durham_University_AW	Nanyang_Technological_University_A	Singapore_Management_University_D
Columbia_University_B	Duke_University_C	University_of_Canterbury_A	International_Islamic_University_Malaysia_A
Delhi_Technological_University_1	University_of_Oxford_C	University_of_Technology_MARA_C	University_of_Chicago_D
Brickfields_Asia_College,_Malaysia_A	Fordham_University_C	Amherst_College_MZ	Chulalongkorn_University_A
Harvard_College_B	Hobart_and_William_Smith_Colleges_A	University_of_Alberta_A	Cambridge_Union_Society_A
Columbia_University_A	Cambridge_Union_Society_C	Harvard_College_D	The_University_of_Tokyo_B
Foreign_Trade_University_A	Seoul_National_University_A	Colgate_University_A	University_of_Alberta_B
