	sim_1	sim_2	sim_3	sim_4	sim_5	sim_6	sim_7	sim_8	sim_9	sim_10	sim_11	sim_12	sim_13	sim_14	sim_15	sim_16	sim_17	sim_18	sim_19	sim_20	sim_21	sim_22	sim_23	sim_24	sim_25	sim_26	sim_27	sim_28	sim_29	sim_30	sim_31	sim_32	sim_33	sim_34	sim_35	sim_36	sim_37	sim_38	sim_39	sim_40	sim_41	sim_42	sim_43	sim_44	sim_45	sim_46	sim_47	sim_48	sim_49	sim_50	sim_51	sim_52	sim_53	sim_54	sim_55	sim_56	sim_57	sim_58	sim_59	sim_60	sim_61	sim_62	sim_63	sim_64	sim_65	sim_66	sim_67	sim_68	sim_69	sim_70	sim_71	sim_72	sim_73	sim_74	sim_75	sim_76	sim_77	sim_78	sim_79	sim_80	sim_81	sim_82	sim_83	sim_84	sim_85	sim_86	sim_87	sim_88	sim_89	sim_90	sim_91	sim_92	sim_93	sim_94	sim_95	sim_96	sim_97	sim_98	sim_99	sim_100	sim_101	sim_102	sim_103	sim_104	sim_105	sim_106	sim_107
Subramaniam_&_Li_r7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Subramaniam_&_Li_r8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doyle_&_Leslie-Keefe_r7	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Doyle_&_Leslie-Keefe_r8	2	2	3	3	2	2	2	2	1	2	3	3	2	2	1	3	3	2	2	3	3	2	3	3	2	1	2	3	3	3	2	2	2	3	2	2	3	3	2	3	2	2	3	3	2	3	2	2	2	2	3	2	2	3	2	3	3	3	3	3	2	3	3	2	3	3	2	3	2	2	2	2	3	2	2	3	2	2	3	3	3	3	3	2	2	2	3	2	2	3	3	3	3	2	2	2	2	2	3	3	3	2	3	2	2	3	2
Lafferty_&_Wu_r7	2	3	3	2	2	2	3	2	3	2	3	3	2	3	3	2	3	2	3	2	2	3	3	3	2	3	3	3	2	2	2	3	3	3	3	3	3	2	2	2	3	2	3	2	2	3	2	2	3	3	2	2	3	2	2	3	2	2	3	2	2	3	2	3	2	2	2	3	2	3	2	2	2	2	3	3	3	2	2	3	2	3	3	3	2	3	2	3	2	2	2	2	2	3	2	3	2	3	2	2	2	2	3	2	3	3	3
Lafferty_&_Wu_r8	3	1	2	3	3	3	1	3	2	3	2	2	3	2	2	3	2	3	2	3	3	2	2	2	3	2	2	2	3	3	3	2	2	2	2	2	1	3	3	3	1	3	2	3	3	2	3	3	2	2	3	3	1	3	3	1	3	3	2	3	3	2	3	2	3	3	3	1	3	2	3	3	3	3	2	2	2	3	3	1	3	2	2	1	3	1	3	2	3	3	3	3	3	2	3	1	3	1	3	3	3	3	1	3	2	1	2
Madzivire_&_Tong_r7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Madzivire_&_Tong_r8	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1
Toomey_&_Ryan_r7	3	2	2	3	3	3	2	3	2	3	2	2	3	2	2	3	2	3	2	3	3	2	2	2	3	2	2	2	3	3	3	2	2	2	2	2	2	3	3	3	2	3	2	3	3	2	3	3	2	2	3	3	2	3	3	2	3	3	2	3	3	2	3	2	3	3	3	2	3	2	3	3	3	3	2	2	2	3	3	2	3	2	2	2	3	2	3	2	3	3	3	3	3	2	3	2	3	2	3	3	3	3	2	3	2	2	2
Toomey_&_Ryan_r8	1	3	3	1	2	2	3	2	3	2	3	3	2	3	3	2	3	2	3	1	2	3	3	3	2	3	3	3	2	2	1	3	3	3	3	3	3	1	1	2	3	2	3	2	2	3	2	2	3	3	1	2	3	2	1	3	1	2	3	2	1	3	1	3	2	1	1	3	2	3	2	2	2	2	3	3	3	2	2	3	2	3	3	3	2	3	2	3	2	2	2	2	1	3	1	3	1	3	1	1	2	2	3	2	3	3	3
